Date,Game,Team_Bet_On,Avg_Norm_SB_Prob,Poly_Buy_Price_Pct,Trading_Edge_Pct,Available_Liquidity_USD,Status,Result,Bet_Size_USD,PnL_USD,Sport
2026-03-02,HOU @ WAS,Washington Wizards,13.25,12.0,1.25,48439.0,GRADED,LOST,35.51,-35.51,NBA
2026-03-02,DEN @ UTA,Utah Jazz,17.56,16.0,1.56,39085.0,GRADED,LOST,46.43,-46.43,NBA
2026-03-02,DET @ CLE,Cleveland Cavaliers,46.77,44.0,2.77,2710.0,GRADED,WON,123.66,157.39,NBA
2026-03-02,SAS @ PHI,Philadelphia 76ers,32.03,31.0,1.03,0.0,GRADED,LOST,0.0,-0.0,NBA
2026-03-02,NORFST @ MORGST,Morgan St Bears,40.41,39.0,1.41,23.0,GRADED,WON,23.0,35.97,NCAAB
2026-03-02,COPPST @ HOWRD,Coppin St Eagles,6.5,4.5,2.0,42.0,GRADED,LOST,42.0,-42.0,NCAAB
2026-03-02,SELOU @ NO,SE Louisiana Lions,27.96,26.0,1.96,15.0,GRADED,WON,15.0,42.69,NCAAB
2026-03-03,DET @ CLE,Cleveland Cavaliers,46.77,44.0,2.77,30376.0,GRADED,WON,123.1,156.67,NBA
2026-03-03,NYK @ TOR,Toronto Raptors,45.75,43.0,2.75,43040.0,GRADED,LOST,120.07,-120.07,NBA
2026-03-03,SAS @ PHI,Philadelphia 76ers,32.03,28.0,4.03,24459.0,GRADED,LOST,139.3,-139.3,NBA
2026-03-03,NSH @ CBJ,Nashville Predators,45.68,44.0,1.68,29032.0,GRADED,LOST,74.66,-74.66,NHL
2026-03-03,OTT @ EDM,Edmonton Oilers,54.14,53.0,1.14,782.0,GRADED,WON,60.36,53.53,NHL
2026-03-04,MARQ @ PROV,Marquette Golden Eagles,36.58,35.0,1.58,248.0,PENDING,,60.7,,NCAAB
